videoname,text(summary),gist(chapter),youtube_id,chapter,category,cluster_label
Introduction To Computer System   Beginners Complete Introduction To Computer System,"In this tutorial we have discussed in detail some important the fundamental concepts related to the computer. We have also studied the definition of computer, various components of computer system and important characteristics and features of computer. If you have liked this video then please give us a thumbs up and consider subscribing to this channel.",Introduction to Computer System (Tutorial,I1XeDS-GLbg,tutorial discussed detail important fundamental concepts related computer also studied definition computer various components computer system important characteristics features computer liked video please give us thumbs consider subscribing channel,introduction computer system tutorial,34
Data Structures: Crash Course Computer Science #14,Last episode we discussed a few example classic algorithms. What we didn't talk much about is how the data the algorithms ran on was stored in computer memory. Computer scientists use data structures like arrays. Arrays are extremely versatile data structures used all the time.,Structured arrays in Computer Science,I1XeDS-GLbg,last episode discussed example classic algorithms talk much data algorithms ran stored computer memory computer scientists use data structures like arrays arrays extremely versatile data structures used time,structured arrays computer science,1
Data Structures: Crash Course Computer Science #14,"In computing, strings are just arrays of characters like letters, numbers, punctuation and other written symbols. Now we can create variables that aren't just single numbers, but are compound data structures, able to store several pieces of data at once. The struct data structure can be used for building more complicated data structures.",Structures and Algorithms,I1XeDS-GLbg,computing strings arrays characters like letters numbers punctuation written symbols create variables single numbers compound data structures able store several pieces data struct data structure used building complicated data structures,structures algorithms,7
Data Structures: Crash Course Computer Science #14,"These mean programmers don't have to waste time implementing things from scratch. Once again, allowing us to operate at a new level of abstraction. This episode was filmed at the Chad and Stacey emergency studio in Indianapolis. I'll see you next time you.",Computer Science: Data Structures,I1XeDS-GLbg,mean programmers waste time implementing things scratch allowing us operate new level abstraction episode filmed chad stacey emergency studio indianapolis see next time,computer science data structures,37
Intro to Algorithms: Crash Course Computer Science #13,"One of the most storied algorithmic problems in computer science is sorting. The fewer steps it takes to compute, the better it is. Computer scientists have spent decades inventing algorithms for sorting. We'll talk about how data like this is represented in memory next week.",In Computer Science: Sorting Algorithms,I1XeDS-GLbg,one storied algorithmic problems computer science sorting fewer steps takes compute better computer scientists spent decades inventing algorithms sorting talk data like represented memory next week,computer science sorting algorithms,1
Intro to Algorithms: Crash Course Computer Science #13,A graph is a network of nodes connected by lines. We can label each line with what is called a cost or weight. Dijkstra's algorithm always starts with the node with the lowest cost. Algorithms are everywhere. The modern world would not be possible without them.,Classical Algorithmic Problems: Graph Search,I1XeDS-GLbg,graph network nodes connected lines label line called cost weight dijkstra algorithm always starts node lowest cost algorithms everywhere modern world would possible without,classical algorithmic problems graph search,22
Introduction to Statistics,"Is this a statistical question? And if so, explain. You can't expect all mice to weigh the same. Now, what we're going to do is display that data in a dot plot. After the dot plot is made, identify any clusters, peaks or gaps.","Statistical Questions, Examples 1,2",I1XeDS-GLbg,statistical question explain ca expect mice weigh going display data dot plot dot plot made identify clusters peaks gaps,statistical questions examples,48
Introduction to Statistics,"A dot plot is basically you have a number line and then you use dots to show where the different data values are. Identify any clusters, peaks, or gaps.",Using a dot plot to explain mouse weights,I1XeDS-GLbg,dot plot basically number line use dots show different data values identify clusters peaks gaps,using dot plot explain mouse weights,48
Introduction to Statistics,"The dot plot shows the heights of 6th graders in my math class. Write a statistical question you can answer using the dot plot and then answer that question. As always, thank you so much for watching.",Statistical Questions from Dot Plot (example 2),I1XeDS-GLbg,dot plot shows heights graders math class write statistical question answer using dot plot answer question always thank much watching,statistical questions dot plot example,48
Successful Negotiation: Essential Strategies and Skills - Learn Business Essentials,George Cydel is a professor at the Ross School of Business at the University of Michigan. He is also 3.1% Neanderthal. His goal is to help you become a successful negotiator in your personal life and in your business transactions.,The Secret to Negotiation,I1XeDS-GLbg,george cydel professor ross school business university michigan also neanderthal goal help become successful negotiator personal life business transactions,secret negotiation,2
Successful Negotiation: Essential Strategies and Skills - Learn Business Essentials,"The University of Michigan course focuses on the four stage negotiation process. At the conclusion of the negotiation, you'll receive feedback from the other side. Take advantage of this ability to test your negotiation skills and obtain feedback.",The University of Michigan Negotiation Course,I1XeDS-GLbg,university michigan course focuses four stage negotiation process conclusion negotiation receive feedback side take advantage ability test negotiation skills obtain feedback,university michigan negotiation course,22
The business cycle   Aggregate demand and aggregate supply   Macroeconomics   Khan Academy,Real GDP is an actual measure of the goods and services produced by an economy or the productivity of an economy. It tends to fluctuate around a trend line like this. This fluctuation around this trend line is called the business cycle. The business cycle is very unpredictable.,Real GDP and the Business Cycle,I1XeDS-GLbg,real gdp actual measure goods services produced economy productivity economy tends fluctuate around trend line like fluctuation around trend line called business cycle business cycle unpredictable,real gdp business cycle,2
The business cycle   Aggregate demand and aggregate supply   Macroeconomics   Khan Academy,"We see this pattern happening every whether it's every eight years, seven years, every ten years. What drives market cycles and economic cycles to a large degree, was based on human emotions. There are new fields in behavioral economics that do try to take into account things like human emotions, but it's not going to make its way into the models.",Human Emotions in the Economic Cycle,I1XeDS-GLbg,see pattern happening every whether every eight years seven years every ten years drives market cycles economic cycles large degree based human emotions new fields behavioral economics try take account things like human emotions going make way models,human emotions economic cycle,14
Google vs IBM Data Analytics Certificates   Which is Better?,"Today we are comparing the Google versus IBM Data Analyst professional certificates. The IBM certification has a huge focus on Python. The Google certification goes a little bit above just the technical skills. At the end, I will give a recommendation.",IBM vs Google Data Analytics Professional Certificate,I1XeDS-GLbg,today comparing google versus ibm data analyst professional certificates ibm certification huge focus python google certification goes little bit technical skills end give recommendation,ibm vs google data analytics professional certificate,2
Google vs IBM Data Analytics Certificates   Which is Better?,"In the Google certification, you're going to be using R, and in the IBM certification you're using Python. One big difference that may not mean a whole lot to you is actually the teaching styles. These certifications are actually setting you up to get a job after you finish them.",IBM Certification vs Google Certification: Which Is Better?,I1XeDS-GLbg,google certification going using r ibm certification using python one big difference may mean whole lot actually teaching styles certifications actually setting get job finish,ibm certification vs google certification better,2
How Has Technology Made Our Lives Easier?,"Technology has rapidly advanced and has made our life unquestionably, reasonably easier and even more fun. Technology has greatly aided education by making learning a more comfortable and fun experience for students. But excessive technology use is not appropriate for everyone, so use it in moderation.",How Technology Has Changed Our Lives,I1XeDS-GLbg,technology rapidly advanced made life unquestionably reasonably easier even fun technology greatly aided education making learning comfortable fun experience students excessive technology use appropriate everyone use moderation,technology changed lives,49
What Is Artificial Intelligence?   🔥Artificial Intelligence Course   AI In 5 Minutes    Simplilearn," AI. Is used in smartphones, cars, social media feeds, video, gangs, banking, surveillance, and many other aspects of our daily life. Provides machines with the capability to adapt, reason, and provide solutions. An AI is classified into weak AI. Also called narrow AI.",What is Artificial Intelligence (AI)?,I1XeDS-GLbg,ai used smartphones cars social media feeds video gangs banking surveillance many aspects daily life provides machines capability adapt reason provide solutions ai classified weak ai also called narrow ai,artificial intelligence ai,31
What Is Artificial Intelligence?   🔥Artificial Intelligence Course   AI In 5 Minutes    Simplilearn,"How is artificial intelligence different from machine learning and deep learning? For now, AI. Is built to work with humans and make our tasks easier. With the maturation of technology, we can only wait and watch what the future of AI. Holds for us. Leave your answer in the comments section below. Three lucky winners will receive Amazon gift vouchers.",What is Artificial Intelligence (AI) Quiz,I1XeDS-GLbg,artificial intelligence different machine learning deep learning ai built work humans make tasks easier maturation technology wait watch future ai holds us leave answer comments section three lucky winners receive amazon gift vouchers,artificial intelligence ai quiz,31
What is a SNP?   Single nucleotide polymorphism  SNP  data in theory and practice,Today we will speak about single nucleotide polymorphisms or SNPs. These SNPs are then used as genomic markers throughout the genome. We can use them when we are searching for underlying genes. Here is a presentation I put together for you about the single limit litide polymorphisms.,Single nucleotide polymorphisms,I1XeDS-GLbg,today speak single nucleotide polymorphisms snps snps used genomic markers throughout genome use searching underlying genes presentation put together single limit litide polymorphisms,single nucleotide polymorphisms,30
What is a SNP?   Single nucleotide polymorphism  SNP  data in theory and practice,"On Snip chips there are the alleles that are coded well, could be coded in various ways. But then there are also missing values. These missing values have also their specific code. To know what is the code for the missing genotype you need to open the genotype file.",Blink 2.8 Missing genotypes in sheep,I1XeDS-GLbg,snip chips alleles coded well could coded various ways also missing values missing values also specific code know code missing genotype need open genotype file,blink missing genotypes sheep,8
What is a SNP?   Single nucleotide polymorphism  SNP  data in theory and practice,Today we will speak about single nucleotide polymorphisms or SNPs. These SNPs are then used as genomic markers throughout the genome. We can use them when we are searching for underlying genes. Here is a presentation I put together for you about the single limit litide polymorphisms.,Single nucleotide polymorphisms,I1XeDS-GLbg,today speak single nucleotide polymorphisms snps snps used genomic markers throughout genome use searching underlying genes presentation put together single limit litide polymorphisms,single nucleotide polymorphisms,30
What is a SNP?   Single nucleotide polymorphism  SNP  data in theory and practice,"On Snip chips there are the alleles that are coded well, could be coded in various ways. But then there are also missing values. These missing values have also their specific code. To know what is the code for the missing genotype you need to open the genotype file.",Blink 2.8,I1XeDS-GLbg,snip chips alleles coded well could coded various ways also missing values missing values also specific code know code missing genotype need open genotype file,blink,8
SEO In 5 Minutes   What Is SEO And How Does It Work   SEO Explained   SEO Tutorial   Simplilearn,Search engine optimization is a method that could improve the quality and quantity of the audience coming to Rachel's website from search engines. Offpage SEO involved Rachel doing things outside her site page to help increase its search engine rankings. Let us know your answer in the comments section below for a chance to win an Amazon voucher.,How to SEO Your Website,I1XeDS-GLbg,search engine optimization method could improve quality quantity audience coming rachel website search engines offpage seo involved rachel things outside site page help increase search engine rankings let us know answer comments section chance win amazon voucher,seo website,45
SEO In 5 Minutes   What Is SEO And How Does It Work   SEO Explained   SEO Tutorial   Simplilearn,"Rachel decided to take up Simply Learns Digital Marketing certification. It was only a matter of time before Rachel began to implement her learnings on her website. In time, she could even earn money off the site by setting up an online shop. We hope you enjoyed this video.",How to Start Using SEO in your Business,I1XeDS-GLbg,rachel decided take simply learns digital marketing certification matter time rachel began implement learnings website time could even earn money site setting online shop hope enjoyed video,start using seo business,45
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,"Google My Business changed its name a few months ago and is now called Google Business Profile. If you want to rank high on Google Maps, it's important you understand what truly works. Using this report, along with a simple Google Chrome extension, I'm going to show you the fastest way to rank your own Google Business profile number one.",How to Rank #1 on Google Maps,I1XeDS-GLbg,google business changed name months ago called google business profile want rank high google maps important understand truly works using report along simple google chrome extension going show fastest way rank google business profile number one,rank google maps,2
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,"GMB Everywhere is a simple tool you can add to your Google Chrome browser. When conducting a search, GMB Everywhere will overlay information on all the listings in the results. We'll be using this information to help boost your rankings.",Google Maps: Everything You Need to Know,I1XeDS-GLbg,gmb everywhere simple tool add google chrome browser conducting search gmb everywhere overlay information listings results using information help boost rankings,google maps everything need know,2
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,"Your primary business category is the number one influential factor Google will take into consideration when ranking your listing in Google Maps results. To change or add categories to your listing, sign into the Google account associated with your business profile.",20 Local Ranking Factors You Need to Consider,I1XeDS-GLbg,primary business category number one influential factor google take consideration ranking listing google maps results change add categories listing sign google account associated business profile,local ranking factors need consider,2
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,"Your business name plays a significant part in the ranking of your listing on Google Maps. As it stands, it is number two on the most influential ranking factor. Including unnecessary information in your business name is not permitted. But if done carefully, you can get away with it.",Google Maps: Business Name,I1XeDS-GLbg,business name plays significant part ranking listing google maps stands number two influential ranking factor including unnecessary information business name permitted done carefully get away,google maps business name,2
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,A business lives or dies based on its reputation. Google reviews play a key part in how well your business listing ranks on Google Maps. Send customers an email that will encourage them to include relevant keywords in their reviews. Use the GMB Everywhere extension to run a review audit on their listing.,How to Get Positive Reviews on Google Maps,I1XeDS-GLbg,business lives dies based reputation google reviews play key part well business listing ranks google maps send customers email encourage include relevant keywords reviews use gmb everywhere extension run review audit listing,get positive reviews google maps,2
GOOGLE MY BUSINESS SEO 2023 - The Fastest Way to Rank N#1 on Google Maps,"Google has always used links to rank websites in search results. The more backlinks your website gets, the higher it will rank. The quickest way to get local links is to engage with your local community. Check your results regularly to see if your efforts are paying off.",How to Rank #1 on Google Maps,I1XeDS-GLbg,google always used links rank websites search results backlinks website gets higher rank quickest way get local links engage local community check results regularly see efforts paying,rank google maps,2
Python for Beginners - Learn Python in 1 Hour,"This tutorial is the perfect place to learn Python for data science, machine learning or web development. You don't need any prior knowledge in Python or programming in general. Make sure to subscribe as I upload new videos every week.",How to Start Learning Python (In 60 Seconds!!),I1XeDS-GLbg,tutorial perfect place learn python data science machine learning web development need prior knowledge python programming general make sure subscribe upload new videos every week,start learning python seconds,4
Python for Beginners - Learn Python in 1 Hour,"Python is a multipurpose programming language, so you can use it for a variety of different tasks. You can use Python for machine learning and AI projects. Using Python and a framework called Django, you can build amazing websites. So why are you learning Python?",What is Python,I1XeDS-GLbg,python multipurpose programming language use variety different tasks use python machine learning ai projects using python framework called django build amazing websites learning python,python,21
Python for Beginners - Learn Python in 1 Hour,"You need to download the latest version of Python. Next, you need to install a code editor for Python. We use Pycharm to write our code and execute it. As you learn more Python, you will learn how to build applications with a graphical user interface.",Installing Python 2.8 in 2 Minutes,I1XeDS-GLbg,need download latest version python next need install code editor python use pycharm write code execute learn python learn build applications graphical user interface,installing python minutes,21
Python for Beginners - Learn Python in 1 Hour,"We use variables to temporarily store data in a computer's memory. For example, we can store the price of a product or someone's name, their email, their age, and so on. This is how we can declare and use variables in Python.","Python Variables, Declaration, and Use",I1XeDS-GLbg,use variables temporarily store data computer memory example store price product someone name email age declare use variables python,python variables declaration use,1
Python for Beginners - Learn Python in 1 Hour,"In this tutorial, I'm going to show you how to receive input from the user. In Python we have numbers, strings and booleans. There are times you want to convert the value of a variable from one type to another. Use the comment box below to share your code with others.",Python Input Function in 2 Steps,I1XeDS-GLbg,tutorial going show receive input user python numbers strings booleans times want convert value variable one type another use comment box share code others,python input function steps,4
Python for Beginners - Learn Python in 1 Hour,"A floating point number in Python and other programming languages is a number with a decimal point. Python doesn't know how to evaluate code like this. To solve this problem, we need to convert some to a string.",Python 2.8: Floating Point Numbers in Python,I1XeDS-GLbg,floating point number python programming languages number decimal point python know evaluate code like solve problem need convert string,python floating point numbers python,4
Python for Beginners - Learn Python in 1 Hour,"In this tutorial, I'm going to show you a bunch of cool things you can do with strings in python. An object in Python is Like An object In The Real World as A Metaphor. Type conversion is important in Python and other programming languages.",Python: Types and Functions in strings,I1XeDS-GLbg,tutorial going show bunch cool things strings python object python like object real world metaphor type conversion important python programming languages,python types functions strings,4
Python for Beginners - Learn Python in 1 Hour,"Next, we're going to look at arithmetic operations in Python. These are the same arithmetic operators that we have in math. For example, we can add numbers, subtract them, multiply them, and so on. We also have an augmented assignment operator.",Python: Arithmetic Operators,I1XeDS-GLbg,next going look arithmetic operations python arithmetic operators math example add numbers subtract multiply also augmented assignment operator,python arithmetic operators,21
Python for Beginners - Learn Python in 1 Hour,"In Python, we have another set of operators called comparison operators. These operators are extremely important in real Python programs. We use them to compare values to evaluate certain conditions. For example, we can use these operators to build complex rules and conditions.",Python Algebra operators,I1XeDS-GLbg,python another set operators called comparison operators operators extremely important real python programs use compare values evaluate certain conditions example use operators build complex rules conditions,python algebra operators,21
Python for Beginners - Learn Python in 1 Hour,"In Cbased programming languages like C plus plus, C Sharp, Java and JavaScript, we represent a block of code using curly braces. In Python, we don't have curly braces, so we use indentation. Here is a great exercise for you to practice what you have learned so far. Write a weight converter program.","In Python, if and else code",I1XeDS-GLbg,cbased programming languages like c plus plus c sharp java javascript represent block code using curly braces python curly braces use indentation great exercise practice learned far write weight converter program,python else code,21
Python for Beginners - Learn Python in 1 Hour,"I have a comprehensive Python course that teaches you everything about Python. If you want to learn more, you may want to look at my Python course. I also have an online coding school at Code with Marsh. com.",Python: Can only concatenate string to float?,I1XeDS-GLbg,comprehensive python course teaches everything python want learn may want look python course also online coding school code marsh com,python concatenate string float,21
Python for Beginners - Learn Python in 1 Hour,"In Python, we use while loops to repeat a block of code multiple times. Instead of printing i, I want to print an expression. This makes my number more readable. It's much easier than 1000 lines of code, each printing a number.","In Python, While Loops",I1XeDS-GLbg,python use loops repeat block code multiple times instead printing want print expression makes number readable much easier lines code printing number,python loops,21
Python for Beginners - Learn Python in 1 Hour,"In this tutorial, we're going to talk about lists. We use lists whenever we want to represent a list of objects. Lists are also objects, so they have a bunch of methods for adding items, for removing them. In python, we can also use a negative index. These complex types are very useful in building real applications.",Python Lists,I1XeDS-GLbg,tutorial going talk lists use lists whenever want represent list objects lists also objects bunch methods adding items removing python also use negative index complex types useful building real applications,python lists,4
Python for Beginners - Learn Python in 1 Hour,"When writing Python programs, there are times you want to iterate over a list and access each item individually. With the for loop, in each iteration, the item variable will automatically hold one value. We could also achieve the same thing using a while loop, but our code would be a little bit longer.","In Python, for loop",I1XeDS-GLbg,writing python programs times want iterate list access item individually loop iteration item variable automatically hold one value could also achieve thing using loop code would little bit longer,python loop,21
Python for Beginners - Learn Python in 1 Hour,"In Python, we use the range function to generate a sequence of numbers. To see the actual numbers, we need to iterate over this range object using a for loop. We don't really need to store the result in a separate variable.",Python: The Range Function,I1XeDS-GLbg,python use range function generate sequence numbers see actual numbers need iterate range object using loop really need store result separate variable,python range function,21
Python for Beginners - Learn Python in 1 Hour,"In this tutorial, we're going to talk about Tuples. In Python, tuples are immutable, which means we cannot change them once we create them. It's an advanced topic, and I've covered it in detail in my complete python programming course.",Python: Tuples (In 60 Seconds!,I1XeDS-GLbg,tutorial going talk tuples python tuples immutable means change create advanced topic covered detail complete python programming course,python tuples seconds,4
What is Google Kubernetes Engine  GKE ?,"Gke is a managed service for running Kubernetes. It offers some advanced cluster management features. Containers help improve portability, shareability, deployment, speed, reusability and more. Gke is secure by default with automatic encryption.",What is Google Kubernetes Engine (Gke),I1XeDS-GLbg,gke managed service running kubernetes offers advanced cluster management features containers help improve portability shareability deployment speed reusability gke secure default automatic encryption,google kubernetes engine gke,41
Hybrid Networking: Google Cloud Interconnect,"In this episode, I dive into Google Cloud Interconnect so you can set up highspeed direct connection to Google's Network for faster data migration and an optimal hybrid environment. The purpose of Google Cloud interconnect is to provide direct fast connection between your on premise and Google Cloud networks in a secure fashion.",Google Cloud Interconnect,I1XeDS-GLbg,episode dive google cloud interconnect set highspeed direct connection google network faster data migration optimal hybrid environment purpose google cloud interconnect provide direct fast connection premise google cloud networks secure fashion,google cloud interconnect,6
Hybrid Networking: Google Cloud Interconnect,The first steps in using cloud interconnect involve deciding if you want to use a dedicated connection or a partner connection. Dedicated interconnect is ideal for situations where you need more than a ten gigabit connection. A partner can be used for lower speed needs access. The next step is to protect your cloud instances by configuring firewall rules.,How to Use Cloud Interconnect with Google,I1XeDS-GLbg,first steps using cloud interconnect involve deciding want use dedicated connection partner connection dedicated interconnect ideal situations need ten gigabit connection partner used lower speed needs access next step protect cloud instances configuring firewall rules,use cloud interconnect google,28
Econometrics and Economic Data in Stata,"Today I will talk about econometrics and economic data in Stata. We will consider cross sectional data, time series data pulled, cross sections and panel or longitudinal data. In this video, I will show you how to read in different types of types of economic data.",Stata,I1XeDS-GLbg,today talk econometrics economic data stata consider cross sectional data time series data pulled cross sections panel longitudinal data video show read different types types economic data,stata,7
Econometrics and Economic Data in Stata,"Time series data has the T dimension in it, which means a year or some other indication of time. Here we have 38 years of data and five variables. These are the main variables that we can summarize. It's from 1950 to 1987.",Time series data,I1XeDS-GLbg,time series data dimension means year indication time years data five variables main variables summarize,time series data,7
Econometrics and Economic Data in Stata,"The next type of data that we consider is the pulled cross sections. This data set has, uh, two years of data, 1978 and 1981. The key aspect of this data is that houses are different in each year. The final data type is panel data for wages of individual across years.",Meaning of Panel and Cross-Section Data,I1XeDS-GLbg,next type data consider pulled cross sections data set uh two years data key aspect data houses different year final data type panel data wages individual across years,meaning panel data,7
11 16 22 EHS Seminar: Dr  Petros Koutrakis,Ellen Hahn directs the UK Center for Appalachian Research and Environmental Sciences. We are so excited to welcome Dr. Petras Katraakus from Harvard with us today. State of the Center Science meeting on December 12 will be totally virtual again.,The UK Center for Appalachian Research and Environmental Sciences,I1XeDS-GLbg,ellen hahn directs uk center appalachian research environmental sciences excited welcome petras katraakus harvard us today state center science meeting december totally virtual,uk center appalachian research environmental sciences,47
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"Dr. Katrakus is the director of the EPA harvard University Center for Ambient Particle Health Effects. Today we will focus on the terrestrial radiation. What we found is that solar and terrestrial radiation can affect air pollution or they can modify the effects of air pollution. At the end, we will have time for questions.",Dr. Katrakus,I1XeDS-GLbg,katrakus director epa harvard university center ambient particle health effects today focus terrestrial radiation found solar terrestrial radiation affect air pollution modify effects air pollution end time questions,katrakus,34
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"We developed monthly means of RAYDON by Zip code in the United States between early 2000 to 2018. So far, we have available data for 22 states in the Northeast and Midwest. We expect exposures to vary by year and of course, season.",Radon Health Study,I1XeDS-GLbg,developed monthly means raydon zip code united states early far available data states northeast midwest expect exposures vary year course season,radon health study,22
11 16 22 EHS Seminar: Dr  Petros Koutrakis,Polonium 210 has high concentrations in the brain and lungs. Having radio nucleites in your brain for many years is not a good thing for people. More studies that will come up relating dementia to radon exposures.,Polonium in the brain,I1XeDS-GLbg,polonium high concentrations brain lungs radio nucleites brain many years good thing people studies come relating dementia radon exposures,polonium brain,42
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"The mortality of particles PN 25 are much stronger when they carry uh, radioactivity. And we found that mortality for all data, I think this was non accidental. These are cardiovascular disease, mortality, myocardial infraction, stroke and all cause non accidental mortality.",PM 2.5 and cardiovascular mortality,I1XeDS-GLbg,mortality particles pn much stronger carry uh radioactivity found mortality data think non accidental cardiovascular disease mortality myocardial infraction stroke cause non accidental mortality,pm cardiovascular mortality,40
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"There are many papers I would be happy to share with you. This is another indication that radon or particle radioactivity really can cause problems. It will probably come from the APA to NIHS, because I think the risks are quite high. I expect this is going to be a big issue in a few years.",Air quality and radon,I1XeDS-GLbg,many papers would happy share another indication radon particle radioactivity really cause problems probably come apa nihs think risks quite high expect going big issue years,air quality radon,48
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"Dr. Hanneberg: Have you thought about looking at ways to include the bedrock geology as another spatial variable in your models? In our model, we include fracking as well as the predictor. The more data we have, the more accurate the model will be, he says.",Radon levels in the United States,I1XeDS-GLbg,hanneberg thought looking ways include bedrock geology another spatial variable models model include fracking well predictor data accurate model says,radon levels united states,18
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"Why is lead to ten not used as a surrogate for radon? In general, Led to ten has some problems with the detection, mostly background. And also we see some better radiation from cosmic maybe beryllium background.",Lead to 10,I1XeDS-GLbg,lead ten used surrogate radon general led ten problems detection mostly background also see better radiation cosmic maybe beryllium background,lead,49
11 16 22 EHS Seminar: Dr  Petros Koutrakis,"Kentucky has the highest rate on risk potential in the state. How do you have rock that's low in uranium, yet have high rateons? How difficult is it to do this mapping?",Radon risk in the US,I1XeDS-GLbg,kentucky highest rate risk potential state rock low uranium yet high rateons difficult mapping,radon risk us,14
LMSDR Webinar: Doxorubicin Trials for LMS,"Sharon Anderson is president of Lyomile sarcoma Support and Direct Research Foundation. Dr. Ankit Mangla is an oncologist at the University Hospital, sideman Cancer Center in Ohio. Mangler will tell us about the Tti six, two, one with Dr. Rubison trial for lyomal Sarcoma.",The lyomile sarcoma support and research foundation,I1XeDS-GLbg,sharon anderson president lyomile sarcoma support direct research foundation ankit mangla oncologist university hospital sideman cancer center ohio mangler tell us tti six two one rubison trial lyomal sarcoma,lyomile sarcoma support research foundation,26
LMSDR Webinar: Doxorubicin Trials for LMS,"Dr. Mangla is affiliated with case comprehensive Cancer Center in Cleveland, Ohio. His presentation includes general sarcoma discussion. He will start sharing his screen here.",General sarcoma discussion,I1XeDS-GLbg,mangla affiliated case comprehensive cancer center cleveland ohio presentation includes general sarcoma discussion start sharing screen,general sarcoma discussion,30
LMSDR Webinar: Doxorubicin Trials for LMS,All solid tumors are divided mainly into two categories. Epithelial tumors mainly arise from the lining of the body. Surgery is the first line of treatment for any kind of localized lyomas sarcoma. Radiation or systemic treatment is recommended based on the location.,"Soft Tissue sarcomas, treatment guidelines",I1XeDS-GLbg,solid tumors divided mainly two categories epithelial tumors mainly arise lining body surgery first line treatment kind localized lyomas sarcoma radiation systemic treatment recommended based location,soft tissue sarcomas treatment guidelines,26
LMSDR Webinar: Doxorubicin Trials for LMS,"Response rates. When we do CT scans, we should see shrinkage of the tumor. Firstline treatment gives you a best response rate of 35%. With second line treatments, as we go along, the response rate keeps dropping.",Responding to first-line cancer treatment,I1XeDS-GLbg,response rates ct scans see shrinkage tumor firstline treatment gives best response rate second line treatments go along response rate keeps dropping,responding cancer treatment,26
LMSDR Webinar: Doxorubicin Trials for LMS,"There is so much molecular heterogeneity within biomass sarcoma that it becomes hard to say. One shoe fits everybody. Next generation sequencing, genomic sequencing is coming to the fourth. Should request your physicians to run genomic sequencing on the tumors.",Major challenges in biomass sarcoma,I1XeDS-GLbg,much molecular heterogeneity within biomass sarcoma becomes hard say one shoe fits everybody next generation sequencing genomic sequencing coming fourth request physicians run genomic sequencing tumors,major challenges biomass sarcoma,14
LMSDR Webinar: Doxorubicin Trials for LMS,"Immunotherapy has been coming to the coming to port big time. It's approved in different cancers. It works, it uses your own immune system to fight the cancer. We have developed various techniques to tackle the immune system in multiple ways.",Immunity vs. Immunotherapy in sarcoma,I1XeDS-GLbg,immunotherapy coming coming port big time approved different cancers works uses immune system fight cancer developed various techniques tackle immune system multiple ways,immunity immunotherapy sarcoma,8
LMSDR Webinar: Doxorubicin Trials for LMS,There are certain subsets of patients who can have exceptional responses from immunotherapy. The first one is the patients who have high tumor mutation burden. The second is patients whose tumors are deficient in mismatch repair gene. genomic testing for genomic sequencing is important in patients.,Immunity in sarcoma: the first line treatment,I1XeDS-GLbg,certain subsets patients exceptional responses immunotherapy first one patients high tumor mutation burden second patients whose tumors deficient mismatch repair gene genomic testing genomic sequencing important patients,immunity sarcoma first line treatment,47
LMSDR Webinar: Doxorubicin Trials for LMS,"CD 47 plays a role in our body by preventing the activity of macrophages against normal cells. Cancer cells also exploit this mechanism. In this trial, we are combining Tti 61 with doxorubicin for patients with metastatic lyomy sarcoma or locally advanced unresectable lyomasarcoma.",Tti 61 vs Doxorubicin in metastatic,I1XeDS-GLbg,cd plays role body preventing activity macrophages normal cells cancer cells also exploit mechanism trial combining tti doxorubicin patients metastatic lyomy sarcoma locally advanced unresectable lyomasarcoma,tti vs doxorubicin metastatic,46
LMSDR Webinar: Doxorubicin Trials for LMS,"The grading system is based mainly on the French system. It depends on three things, which is tissue differentiation, mitotic count and necrosis. Any patient who has received an organ transplant will automatically be at a higher risk of organ rejection with this trial.","Breast cancer trials, exclusion criteria",I1XeDS-GLbg,grading system based mainly french system depends three things tissue differentiation mitotic count necrosis patient received organ transplant automatically higher risk organ rejection trial,breast cancer trials exclusion criteria,26
LMSDR Webinar: Doxorubicin Trials for LMS,"Cab axl antibody drug conjugate. Not expressed homogeneously on all patients with lymph sarcoma. Drug may also exercise, may be expressed by normal cells too. Could cause chemotherapy to be released in that environment. VA three zero eleven is a conditionally active biologic.",Lymphoma antibody drug conjugate,I1XeDS-GLbg,cab axl antibody drug conjugate expressed homogeneously patients lymph sarcoma drug may also exercise may expressed normal cells could cause chemotherapy released environment va three zero eleven conditionally active biologic,lymphoma antibody drug conjugate,47
LMSDR Webinar: Doxorubicin Trials for LMS,"More than one line of treatment other than gym tax is not allowed, even if we are doxo. Rubensen naive. The only chemotherapy they allow currently on the trial is Gem Cyberbindose Taxis. Where do we get the axl test?",Axl gene mutation in colorectal cancer,I1XeDS-GLbg,one line treatment gym tax allowed even doxo rubensen naive chemotherapy allow currently trial gem cyberbindose taxis get axl test,axl gene mutation colorectal cancer,26
